# Center_x Center_y Value Xtype1 j1 k1 Xtype2 j2 k2
0.4375 0.875 -1.7050346181763273204481242253574948056216e-10 1 4 46 1 5 171
5.3125000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 3.5987705697702061525292507767866470591578e-10 1 4 47 1 5 170
5.0000000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 -5.5926418876199368624659739380241413320149e-09 1 4 51 1 5 166
5.0000000000000000000000000000000000000000e-01 8.4375000000000000000000000000000000000000e-01 4.3246400062717628847695861622930924017538e-09 1 4 52 1 5 165
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.3359235953560514006431419882263186314076e-203 0 2 0 0 2 0
5.6250000000000000000000000000000000000000e-01 8.5937500000000000000000000000000000000000e-01 3.2742556783199057142953002521419073739262e-10 1 4 55 1 5 162
5.6250000000000000000000000000000000000000e-01 8.5937500000000000000000000000000000000000e-01 -8.0756920522397136087228194635751279961688e-10 1 4 56 1 5 161
5.6250000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 6.7445930527425523850639481207927539152536e-09 1 4 57 1 5 160
5.6250000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 1.0299130173834027545957240149486489055874e-08 1 4 58 1 5 159
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 9.4461324236406309359606264902040098931954e-203 0 2 0 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 9.9302900188543981902189377431487688694435e-203 0 2 1 0 2 0
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.8432961330278601641851507157544664006624e-202 0 2 0 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.8485222820372786444849802321177886297016e-201 0 2 1 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.9239508932480036396940842423937470984974e-202 0 2 2 0 2 0
5.0781250000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -3.5948565464755064203427898342115952984299e-10 1 7 393 1 3 35
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.0398047504195193083185515909370875045172e-202 0 2 0 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.3441602159212685362486996162499757320874e-201 0 2 1 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.3271523857478195801277736542374718023375e-201 0 2 2 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.1108626210141594403164155623324293590947e-202 0 2 3 0 2 0
4.9218750000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.8288254971125748982188674978126459447214e-10 1 7 379 1 2 21
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.1715562147517978690843155689118269824345e-09 1 6 193 1 3 46
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -6.4070789844986963848443392604463733630560e-10 1 6 194 1 3 45
4.9218750000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.5201185000913026002907235090483122064153e-09 1 7 380 1 2 20
4.9218750000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 7.6910237740646236914401456035371949793156e-10 1 7 381 1 2 19
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.6031151249235001025396090844257063201539e-09 1 6 195 1 3 44
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.2123282426981648348081465759069896837019e-09 1 6 196 1 3 43
5.0390625000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 6.9722677528114593214416313387697980361035e-11 1 7 383 0 2 21
5.0390625000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -2.0979197477563189647095664731174524675339e-09 1 7 383 1 2 17
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.0868845915094705049360128419205065027615e-202 0 2 0 0 2 4
5.0390625000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 2.7543206141252854605994381122875333534061e-09 1 7 384 0 2 20
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -8.2210409484208972586081050570935987638778e-202 0 2 1 0 2 3
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -2.7591652608161212849955986600508292538869e-09 1 7 385 0 2 19
5.1562500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.1893268287744961568848898347426287780415e-09 1 6 199 1 3 40
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -3.7782790722582591359380436085046514905712e-201 0 2 2 0 2 2
3.7500000000000000000000000000000000000000e-01 8.4765625000000000000000000000000000000000e-01 1.7090921624772577606598452521353666624937e-10 0 2 7 1 7 647
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 2.7537040456120626166065859508329943805549e-09 1 7 386 0 2 18
5.1562500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -3.0850903528618574094053088292333511533094e-09 1 6 200 1 3 39
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -8.3534493405064673611557714835109984372041e-202 0 2 3 0 2 1
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -8.1283135108006750041157993679798166031247e-09 1 7 387 0 2 17
5.1562500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.6588222379279752004468527926822618567826e-09 1 6 201 1 3 38
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.1321275921438905828753811816288536633331e-202 0 2 4 0 2 0
5.3906250000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 6.6234571906109650001883990878305541460946e-10 1 6 203 1 3 36
5.3906250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.3754053413351780689055803878425871672464e-10 1 7 416 1 2 20
6.2500000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 7.9335378098903642932344737749811129645661e-10 0 2 14 1 7 640
6.2500000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 2.9162581785579140794930885851622952981144e-10 1 2 11 1 7 639
5.3906250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -4.3468790255298623140672572324626123790869e-10 1 7 417 1 2 19
5.0000000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 1.7703279618601690116129596021948833239890e-08 0 2 15 1 7 639
5.0000000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 3.7491405119808586545405849183541791003194e-10 0 2 16 1 7 638
5.0000000000000000000000000000000000000000e-01 8.2812500000000000000000000000000000000000e-01 2.3405211150357253133355515928824830407251e-10 1 2 13 1 7 637
5.5078125000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 1.6154949964129963760106634631819608541314e-10 1 7 419 0 2 21
5.5078125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.7256409103372096787254359716854475864656e-10 1 7 419 1 2 17
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 3.3900726150316163763474531645598688523390e-204 0 2 0 1 2 1
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 2.7047723445080109439306592247832370980297e-89 0 2 0 0 2 5
5.5078125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 6.4891811163698053304019348661133177735838e-10 1 7 420 0 2 20
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.0662316917981712709604410101774769652492e-201 0 2 1 0 2 4
5.4687500000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -4.8472155562086000936543570173512321397347e-10 1 7 421 0 2 19
5.0000000000000000000000000000000000000000e-01 8.3203125000000000000000000000000000000000e-01 -2.5153727138758693719254913421677286033962e-09 1 2 15 1 7 635
5.1562500000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -2.0570503505572730601991826853043587863823e-08 1 5 95 1 3 46
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.5692925596307299496136075068510641158907e-201 0 2 2 0 2 3
5.4687500000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 7.2634554995677351322956960088909894590614e-10 1 7 422 0 2 18
5.1562500000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 4.5504685584641097531103368957483557011301e-09 1 5 96 1 3 45
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.6060278302298820174754903384617711695945e-201 0 2 3 0 2 2
5.4687500000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.8453035332519127563400862900694875123886e-09 1 7 423 0 2 17
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.5486667580043386261903900699699043741475e-08 1 5 97 1 3 44
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.0563738243363717447624376096826737417588e-201 0 2 4 0 2 1
5.0000000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -6.3926979227745638473944977313388055017995e-09 1 5 98 1 3 43
3.7500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.5337577630705831372051558622743738744895e-166 0 2 5 0 2 0
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 3.3900424295201867539827285833604635925547e-204 1 2 1 0 2 0
5.4687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.4744274118336158198144510231980541803409e-08 1 5 101 1 3 40
5.4687500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 9.5710116370665692734341113701024283955121e-09 1 5 102 1 3 39
5.3125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -2.3197487534872513944699283158779046232212e-07 1 5 103 1 3 38
4.4531250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -1.6435579748535397467046858547212121598458e-10 1 7 343 1 2 19
5.3125000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 6.2088474679073757170898498983918623039813e-08 1 5 104 1 3 37
5.3125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 -1.7745478938969381151893010828413110857582e-07 1 5 105 1 3 36
4.4531250000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -3.5903464588211755388570283847488886184995e-11 1 7 345 0 2 21
4.4531250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 5.0245096120254699877971063621206158911203e-10 1 7 345 1 2 17
5.3125000000000000000000000000000000000000e-01 8.1250000000000000000000000000000000000000e-01 2.0892400205247981145332202782688435505065e-07 1 5 106 1 3 35
4.4531250000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -1.4068092954832888416854378452018614620300e-09 1 7 346 0 2 20
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.1655242836376200762421166244107491739518e-203 0 2 0 1 2 2
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 -5.2517663806521980048724766782984716753543e-89 0 2 0 0 2 6
4.5703125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -3.2761993997440185507051898603099980566977e-10 1 7 347 0 2 19
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -2.0168493497318010075534853527218604772321e-203 0 2 1 1 2 1
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 -5.2984422080089114306851419420429953503680e-88 0 2 1 0 2 5
4.5703125000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 2.9605466157769771536874043690759465696782e-10 1 7 348 0 2 18
5.7812500000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 -5.6608424954487476695050106713716364659206e-10 1 6 226 1 2 21
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.9093135262550789763286826359916538908878e-201 0 2 2 0 2 4
4.5312500000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 1.1295255667028508828033401542112815207908e-09 1 7 349 0 2 17
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -8.7150545554512734022978829278642916777588e-202 0 2 3 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.9052546162002545062009642928856906237600e-201 0 2 4 0 2 2
5.9375000000000000000000000000000000000000e-01 7.5000000000000000000000000000000000000000e-01 3.3701378788600877022630631294744431997179e-10 1 6 229 0 2 22
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -1.9166108837958383197384650012759321778888e-203 1 2 1 0 2 1
3.7500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -2.8569737674020916526090477544642031520865e-165 0 2 5 0 2 1
5.0000000000000000000000000000000000000000e-01 8.0859375000000000000000000000000000000000e-01 -2.4750707331297791506238265358868979454376e-10 1 3 25 1 7 617
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 1.1655289734461435646361305482093752811792e-203 1 2 2 0 2 0
3.7500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -2.6979628264443617693096178146974682680490e-166 0 2 6 0 2 0
5.9375000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 7.7408502986326521407740378359803312680043e-09 1 6 231 0 2 20
5.9375000000000000000000000000000000000000e-01 8.7500000000000000000000000000000000000000e-01 -4.4014499007167534528534058318614743260389e-10 1 6 232 0 2 19
5.0000000000000000000000000000000000000000e-01 7.9687500000000000000000000000000000000000e-01 -6.2840533993987919744461845253835803604137e-10 1 3 27 1 7 615
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 3.0098270247712658016571826882901543179307e-89 0 2 0 0 2 7
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 3.0492601925845454970875238176815059591689e-203 0 2 0 1 2 3
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 6.6849661715032914975239843446040934597015e-88 0 2 1 0 2 6
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -7.2463048774950141721397123059055571929237e-203 0 2 1 1 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 4.0802753600502709688243237916334546568048e-203 0 2 2 1 2 1
1.2500000000000000000000000000000000000000e-01 3.7500000000000000000000000000000000000000e-01 6.6702859320442385374558281158781083140372e-88 0 2 2 0 2 5
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.3102883567198512565317268048605875338191e-202 0 2 3 0 2 4
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -9.0775060964268297408494306005948459114810e-202 0 2 4 0 2 3
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 3.9054169095314377379536028874737015188284e-203 1 2 1 0 2 2
3.7500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 3.6228538816860400415095526009951053629531e-165 0 2 5 0 2 2
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 -6.8862487707300867852950818337049285174982e-203 1 2 2 0 2 1
3.7500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 3.2656835410711040849832742685767581270767e-165 0 2 6 0 2 1
1.2500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.8594414789859003639811853342983936138260e-203 1 2 3 0 2 0
3.7500000000000000000000000000000000000000e-01 1.2500000000000000000000000000000000000000e-01 2.0372076175317754426428669060001184687536e-166 0 2 7 0 2 0
